"Crimes Against Person By City or County"
"Current date: 6/24/2023 10:47:56 AM (Eastern Daylight Time)"
"Data source: Virginia_SS, Offense Data"
"Incident Date: 2021"
"Jurisdiction by Geography","Offense Type","Number of Crimes",
"Rappahannock County","Murder and Nonnegligent Manslaughter",""
"Rappahannock County","Negligent Manslaughter",""
"Rappahannock County","Justifiable Homicide",""
"Rappahannock County","Kidnapping/Abduction","1"
"Rappahannock County","Forcible Rape","1"
"Rappahannock County","Forcible Sodomy",""
"Rappahannock County","Sexual Assault With An Object",""
"Rappahannock County","Forcible Fondling","3"
"Rappahannock County","Incest",""
"Rappahannock County","Statutory Rape","1"
"Rappahannock County","Aggravated Assault","10"
"Rappahannock County","Simple Assault","29"
"Rappahannock County","Intimidation","6"
"Rappahannock County","Human Trafficking, Commercial Sex Acts",""
"Rappahannock County","Human Trafficking, Involuntary Servitude",""
"Rockingham County","Crimes Against Person","352"
"Rockingham County","Murder and Nonnegligent Manslaughter","4"
"Rockingham County","Negligent Manslaughter","3"
"Rockingham County","Justifiable Homicide",""
"Rockingham County","Kidnapping/Abduction","8"
"Rockingham County","Forcible Rape","16"
"Rockingham County","Forcible Sodomy","6"
"Rockingham County","Sexual Assault With An Object","3"
"Rockingham County","Forcible Fondling","44"
"Rockingham County","Incest",""
"Rockingham County","Statutory Rape","4"
"Rockingham County","Aggravated Assault","69"
"Rockingham County","Simple Assault","165"
"Rockingham County","Intimidation","28"
"Rockingham County","Human Trafficking, Commercial Sex Acts","2"
"Rockingham County","Human Trafficking, Involuntary Servitude",""
"Shenandoah County","Crimes Against Person","441"
"Shenandoah County","Murder and Nonnegligent Manslaughter",""
"Shenandoah County","Negligent Manslaughter",""
"Shenandoah County","Justifiable Homicide",""
"Shenandoah County","Kidnapping/Abduction","6"
"Shenandoah County","Forcible Rape","15"
"Shenandoah County","Forcible Sodomy","7"
"Shenandoah County","Sexual Assault With An Object","4"
"Shenandoah County","Forcible Fondling","55"
"Shenandoah County","Incest",""
"Shenandoah County","Statutory Rape","1"
"Shenandoah County","Aggravated Assault","41"
"Shenandoah County","Simple Assault","285"
"Shenandoah County","Intimidation","27"
"Shenandoah County","Human Trafficking, Commercial Sex Acts",""
"Shenandoah County","Human Trafficking, Involuntary Servitude",""
"Spotsylvania County","Crimes Against Person","857"
"Spotsylvania County","Murder and Nonnegligent Manslaughter","3"
"Spotsylvania County","Negligent Manslaughter","1"
"Spotsylvania County","Justifiable Homicide",""
"Spotsylvania County","Kidnapping/Abduction","23"
